KPI Name ;Schema;MME Proposed Object Identifier
MME_Service_Request_Reject_NoRoamingInTA;MME;MME_Failure
MME_Service_Request_Reject_NotAuthorizedCSG;MME;MME_Failure
MME_Service_Request_Reject_TANotAllowed;MME;MME_Failure
MME_Total_Attach_Current_Sessions;MME;MME
MME_Total_Number_Current_Calls;MME;MME
MME_Tracking_Area_Update_Foreign_GUTI_Success_Rate;MME;MME_SR
MME_Tracking_Area_Update_Success_Rate;MME;MME_SR
MME_UE_Identity_Success_Rate;MME;MME_SR
MME_UE_Security_Success_Rate;MME;MME_SR
MME_Visiting_Foreign_Subscribers_Attached;MME;MME
MME_Visiting_Foreign_Subscribers_Connected;MME;MME
MME_Visiting_Foreign_Subscribers_Idle;MME;MME
MME_X2_Handover_Success_Rate;MME;MME_SR
MME_eRAB_Modification_Success_Rate;MME;MME_SR
MME_eRAB_Setup_Success_Rate;MME;MME_SR
MME_intra_node_TAU_reject_with_plmnnotallow;MME;MME
Paging_PS_success_Last_enb;MME;MME
Paging_PS_success_Last_tai;MME;MME
Paging_PS_success_tai_list;MME;MME
Paging_Success_Rate_for_PS_QCI9;MME;MME_SR
Paging_Success_Rate_for_Volte_QCI5;MME;MME_SR
Port_Data_Packet_Received;PORT;
Port_Data_Packet_Sent;PORT;
Port_Utilization;PORT;
Port_Utilization_Downlink;PORT;
Port_Utilization_Uplink;PORT;
Port_rx_disc_packets;PORT;
QCI5_Paging_Init_Attempted;TAI;
QCI5_Paging_Init_Failure;TAI;
QCI5_Paging_Init_Success;TAI;
QCI5_Paging_Last_Enb_Success;TAI;
QCI5_Paging_Last_Tai_Success;TAI;
QCI5_Paging_Tai_List_Success;TAI;
QCI9_Paging_Init_Attempted;TAI;
QCI9_Paging_Init_Failure;TAI;
QCI9_Paging_Init_Success;TAI;
QCI9_Paging_Last_Enb_Success;TAI;
QCI9_Paging_Last_Tai_Success;TAI;
QCI9_Paging_Tai_List_Success;TAI;
Retransmit_Session_Establishment_Request_Recvd;SX;
Retransmit_Session_Establishment_Request_Sent;SX;
Rx_Miss_Prcnt;PORT;
S1_Paging_Events;MME;MME
SAEGW_EGTPC_S11_Create_Session_Received_Attempts;EGTPC;
SAEGW_EGTPC_S11_Create_Session_Response_Success;EGTPC;
SAEGW_EGTPC_S11_Delete_Bearer_Request_Attempts;EGTPC;
SAEGW_EGTPC_S11_Delete_Session_Request_Attempts;EGTPC;
SGS_Location_update_SR;SGS;
Sbc_sctp_Total_Recv_Packet;SBC;
Sbc_sctp_Total_Sent_Packet;SBC;
Session_Establishment_Requests_No_Response;SX;
Session_Manager_Average_CPU_Utilization;CARD;
Session_Manager_Average_Memory_Utilization;CARD;
Session_Manager_Maximum_CPU_Utilization;CARD;
Session_Manager_Maximum_Memory_Utilization;CARD;
Session_Setup_Time_100ms;SCHEMA;
Session_Setup_Time_1sec;SCHEMA;
Session_Setup_Time_200ms;SCHEMA;
Session_Setup_Time_2sec;SCHEMA;
Session_Setup_Time_300ms;SCHEMA;
Session_Setup_Time_3sec;SCHEMA;
Session_Setup_Time_400ms;SCHEMA;
Session_Setup_Time_4sec;SCHEMA;
Session_Setup_Time_500ms;SCHEMA;
Session_Setup_Time_600ms;SCHEMA;
Session_Setup_Time_6sec;SCHEMA;
Session_Setup_Time_700ms;SCHEMA;
Session_Setup_Time_800ms;SCHEMA;
Session_Setup_Time_900ms;SCHEMA;
Sx_Service_Call_Events_Per_Second;SX;
System_Calls_Active;SCHEMA;
System_Calls_Active_LTE;SCHEMA;
System_Calls_Connected;SCHEMA;
System_Calls_Connected_LTE;SCHEMA;
System_Calls_Failed;SCHEMA;
System_Calls_Rejected;SCHEMA;
System_DL_Packet_Avg_Size_Bytes;SCHEMA;
System_DL_Throughput_Mbps;SCHEMA;
System_Dowlink_Throughput_Port;PORT;
System_Throughput_Mbps;SCHEMA;
System_Throughput_Port;PORT;
System_Total_Data_Volume_MB;SCHEMA;
System_Total_Packets_Received;SCHEMA;
System_Total_Packets_Sent;SCHEMA;
System_UL_Packet_Avg_Size_Bytes;SCHEMA;
System_UL_Throughput_Mbps;SCHEMA;
System_Uplink_Throughput_Port;PORT;
Tai_Paging_Attempted;TAI;
Tai_S1_Paging_Tx;TAI;
Total_No_WriteReplaceWarnRecvd_Msg_From_CBC;SBC;
Total_No_WriteReplaceWarnResp_Msg_To_CBC;SBC;
Total_Number_DDN_Request_Received;EGTPC;
UE_Identity_Unknown;MME;MME_Failure
