KPI Name ;Schema;MME Proposed Object Identifier
combocore_int_n40_charging_data_notify_success;SMF;SMF_N40
combocore_int_n40_charging_data_release_request;SMF;SMF_N40
combocore_int_n40_charging_data_release_request_failure;SMF;SMF_N40
combocore_int_n40_charging_data_release_request_failure_3xx;SMF;SMF_N40
combocore_int_n40_charging_data_release_request_failure_4xx;SMF;SMF_N40
combocore_int_n40_charging_data_release_request_failure_5xx;SMF;SMF_N40
combocore_int_n40_charging_data_release_request_success;SMF;SMF_N40
combocore_int_n40_charging_data_request;SMF;SMF_N40
combocore_int_n40_charging_data_request_failure;SMF;SMF_N40
combocore_int_n40_charging_data_request_failure_3xx;SMF;SMF_N40
combocore_int_n40_charging_data_request_failure_4xx;SMF;SMF_N40
combocore_int_n40_charging_data_request_failure_5xx;SMF;SMF_N40
combocore_int_n40_charging_data_request_success;SMF;SMF_N40
combocore_int_n40_charging_data_update_request;SMF;SMF_N40
combocore_int_n40_charging_data_update_request_failure;SMF;SMF_N40
combocore_int_n40_charging_data_update_request_failure_3xx;SMF;SMF_N40
combocore_int_n40_charging_data_update_request_failure_4xx;SMF;SMF_N40
combocore_int_n40_charging_data_update_request_failure_5xx;SMF;SMF_N40
combocore_int_n40_charging_data_update_request_success;SMF;SMF_N40
combocore_n40_failopen_total;SMF;SMF_N40
combocore_total_chf_terminate_attempted;SMF;SMF_CHF
combocore_total_chf_terminate_failure;SMF;SMF_CHF
combocore_total_chf_terminate_success;SMF;SMF_CHF
combocore_total_chf_update_attempted;SMF;SMF_CHF
combocore_total_chf_update_failure;SMF;SMF_CHF
combocore_total_chf_update_success;SMF;SMF_CHF
combocore_cdl_index_replication;SMF;SMF_CDL
combocore_cdl_inter_rack_replications_total;SMF;SMF_CDL
combocore_cdl_intra_rack_operations_failures;SMF;SMF_CDL
combocore_cdl_intra_rack_operations_success;SMF;SMF_CDL
combocore_cdl_intra_rack_operations_total;SMF;SMF_CDL
combocore_cdl_session_count_per_slice;SMF;SMF_CDL
combocore_cdl_session_count_per_system_id;SMF;SMF_CDL
combocore_cdl_slot_records_per_slice;SMF;SMF_CDL
combocore_cdl_slot_records_per_system_id;SMF;SMF_CDL
combocore_cdl_total_session_count;SMF;SMF_CDL
MME_N26mob_ConextRequest_Receive;MME;MME5G
MME_N26mob_4Gto5G_Success;MME;MME5G
MME_N26mob_4Gto5G_Failure;MME;MME5G
MME_N26ho_HandoverRequired_Receive;MME;MME5G
MME_N26ho_4Gto5G_Success;MME;MME5G
MME_N26ho_4Gto5G_Failure;MME;MME5G
MME_N26mob_ConextRequest_Send;MME;MME5G
MME_N26mob_5Gto4G_Success;MME;MME5G
MME_N26mob_5Gto4G_Failure;MME;MME5G
MME_N26ho_ForwardRelocationRequest_Receive;MME;MME5G
MME_N26ho_5Gto4G_Success;MME;MME5G
MME_N26ho_5Gto4G_Failure;MME;MME5G
EPS_5GS_Mobility_Registration_Success_Rate;MME;MME5G
EPS_5GS_Mobility_Registration_Failure_Rate;MME;MME5G
EPS_5GS_Handover_Success_Rate;MME;MME5G
EPS_5GS_Handover_Failure_Rate;MME;MME5G
FiveGS_EPS_Idle_Mode_Mobility_Success_Rate;MME;MME5G
FiveGS_EPS_Idle_Mode_Mobility_Failure_Rate;MME;MME5G
FiveGS_EPS_Handover_Success_Rate;MME;MME5G
FiveGS_EPS_Handover_Failure_Rate;MME;MME5G
MME_Inter_MME_Relocations_S1_S10_HO_Outgoing_Attempts;MME;MME_Inter
MME_Inter_MME_Relocations_S1_S10_HO_Incoming_Attempts;MME;MME_Inter
MME_Inter_MME_Relocations_S1_S10_HO_Outgoing_Success;MME;MME_Inter
MME_Inter_MME_Relocations_S1_S10_HO_Incoming_Success;MME;MME_Inter
QCI5_Last_Enb_Success_Rate;TAI;
QCI5_Last_Tai_Success_Rate;TAI;
QCI5_Tai_List_Success_Rate;TAI;
QCI9_Last_Enb_Success_Rate;TAI;
QCI9_Last_Tai_Success_Rate;TAI;
QCI9_Tai_List_Success_Rate;TAI;
MME_Paging_Profile_Stage1_Success_Rate;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage2_Success_Rate;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage3_Success_Rate;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage4_Success_Rate;MME-PAGING-PROFILE;
MME_Paging_Profile_Stage5_Success_Rate;MME-PAGING-PROFILE;
